	X426	X427	X458	X473	X474	X512	X517	X523	X524	X525	X526	X527	X533	X534	X538	X543	X544	X546	X548	X549	X550	X553	age	somy	region
A1H	0.854	1.12	1.52	1.016	1.376	1.427	1.695	1.013	0.937	1.125	0.665	0.68	0.655	1.039	0.623	0.601	1	0.869	0.829	0.458	0.505	0.477	6	T	H
A2H	0.989	1.064	0.746	0.433	1.007	0.811	0.762	1.083	1.157	1.039	0.944	1.238	1.152	0.342	1.753	1.968	1.519	1.345	1.547	1.593	1.335	1.614	6	T	H
A3H	0.67	0.449	0.638	0.608	0.709	0.582	0.656	0.825	0.91	0.521	0.99	0.727	1.059	0.642	0.45	1.139	0.634	0.629	0.845	0.658	0.68	0.612	6	T	H
A4H	1.396	1.255	0.57	0.584	0.717	0.521	0.977	0.572	0.898	0.847	0.61	0.683	1.548	0.987	1.524	0.697	1.093	1.045	1.058	0.867	1.114	1.016	6	T	H
A5H	2.023	1.501	3.794	2.143	1.316	1.022	0.787	1.006	1.173	1.963	1.171	1.207	1.387	1.316	1.366	1.501	1.151	0.978	1.157	1.123	1.486	1.404	6	T	H
A6H	1.601	1.011	2.211	0.635	1.513	0.524	0.722	0.945	0.821	1.088	1.038	1.055	0.507	1.279	0.809	1.109	0.644	0.989	1.16	0.765	0.695	1.104	6	T	H
A7H	0.725	0.808	1.313	1.73	0.874	1.114	1.26	1.349	1.779	1.001	1.952	1.614	1.632	1.494	1.277	0.456	1.259	0.902	1.031	1.002	1.277	1.024	6	T	H
A8H	0.725	0.926	0.509	0.856	1.016	0.7	0.82	1.686	1.193	0.892	1.346	0.994	1.038	1.046	1.013	0.356	1.144	1.731	1.212	0.892	1.066	1.141	6	T	H
B1H	2.269	1.876	0.556	0.949	0.883	0.737	0.461	0.991	0.692	1.107	1.543	0.993	1.461	3.376	0.542	0.549	0.466	0.841	0.615	0.403	0.742	0.583	12	T	H
B2H	1.384	1.017	0.363	0.88	0.602	1.517	0.934	1.051	0.747	2.961	1.083	0.667	0.822	3.217	1.245	1.399	0.688	1.012	1.069	1.155	1.027	1.29	12	T	H
B3H	1.118	0.961	0.356	0.959	1.156	1.085	2.363	1.909	1.042	1.197	2.221	1.856	1.141	0.991	1.61	0.268	0.831	0.771	0.97	0.97	1.069	1.202	12	T	H
B4H	0.933	0.89	0.381	0.941	0.972	1.752	1.002	1.577	1.364	0.392	NA	1.891	1.093	1.456	2.057	1.174	1.783	1.695	1.51	1.442	1.129	1.629	12	T	H
B5H	1.596	0.602	1.142	0.828	1.013	0.951	0.664	0.814	0.578	1.085	1.889	1.501	0.619	0.602	1.029	0.743	0.863	0.737	0.999	0.823	0.539	1.086	12	T	H
B6H	0.523	0.449	0.569	0.943	0.912	1.374	0.69	1.972	0.907	1.368	1.818	1.836	1.516	1.354	1.899	1.521	1.128	0.794	1.537	1.217	1.376	1.189	12	T	H
B7H	1.45	0.603	0.552	0.351	0.484	1.043	0.824	1.362	1.077	1.141	0.978	1.108	1.347	0.819	1.19	0.617	0.666	1.046	1.173	0.974	0.915	1.129	12	T	H
B8H	1.748	1.555	1.63	1.72	1.144	2.575	1.05	1.512	1.285	1.503	1.363	1.475	1.113	1.613	1.508	1.206	0.978	0.885	1.504	0.896	1.443	1.233	12	T	H
B9H	1.852	1.363	0.857	1.347	1.22	1.88	0.623	0.904	0.746	1.196	1.069	1.261	0.755	1.096	1.028	1.496	0.88	1.062	0.805	0.843	0.519	0.892	12	T	H
B10H	1.189	1.164	1.715	0.855	0.769	1.053	0.59	1.105	0.943	0.84	1.746	0.955	0.782	0.845	1.087	0.68	0.778	1.027	0.956	0.751	0.924	1.61	12	T	H
B11H	0.714	0.556	0.79	0.637	0.617	1.059	0.815	0.521	0.639	1.181	0.918	0.611	0.907	0.615	1.064	0.263	0.536	1.109	0.559	0.502	0.925	0.954	12	T	H
B12H	0.55	1.005	1.356	0.528	0.449	1.253	0.987	1.354	1.251	1.009	1.486	1.063	1.644	0.729	1.309	0.911	0.618	0.617	0.607	0.777	1.127	1.07	12	T	H
B13H	1.475	1.117	0.747	0.508	0.546	0.642	0.365	0.617	0.594	1.235	0.649	0.681	1.718	0.578	1.175	0.605	0.666	0.658	0.736	0.7	0.953	1.178	12	T	H
B14H	0.835	0.507	0.792	0.736	0.57	0.915	0.909	0.843	0.799	0.998	1.541	1.251	1.218	1.546	1.193	1.094	0.658	0.657	0.76	0.712	0.966	0.541	12	T	H
B15H	1.523	1.136	0.75	0.857	0.684	0.808	0.686	0.333	0.302	1.259	0.441	0.328	0.661	0.588	0.598	0.673	0.432	0.75	0.656	0.598	0.606	0.616	12	T	H
C1H	0.367	0.331	0.923	1.037	1.179	1.123	2.038	1.003	0.919	1.129	0.536	0.634	0.529	0.841	0.44	0.431	1.017	0.619	0.558	0.422	0.33	0.362	6	D	H
C2H	0.93	1.061	0.527	0.554	0.935	1.426	0.979	1.061	1.14	0.695	0.998	1.521	1.042	0.609	1.38	2.211	1.326	1.272	1.301	2.351	1.404	1.561	6	D	H
C3H	0.859	0.54	0.759	0.648	0.802	0.437	0.635	0.722	0.81	0.604	0.786	0.588	1.004	0.855	0.613	1.022	0.63	0.614	0.912	0.688	0.535	0.688	6	D	H
C4H	1.603	1.422	0.791	0.574	0.693	0.807	0.913	0.561	0.806	0.968	0.733	0.769	1.263	1.575	1.385	0.74	0.943	1.17	0.972	0.805	1.347	0.954	6	D	H
C5H	0.829	0.72	2.278	2.079	1.207	0.921	0.8	1.032	1.322	1.029	1.127	1.22	1.436	0.558	1.396	1.288	1.277	0.965	1.144	1.123	1.627	1.34	6	D	H
C6H	0.729	0.576	0.466	0.72	1.235	1.052	0.759	1.086	1.081	0.609	1.081	1.283	0.767	0.992	1.021	0.884	0.82	0.669	1.199	0.963	0.88	1.142	6	D	H
C7H	1.496	1.838	1.496	1.531	0.898	1.259	1.03	1.112	1.136	1.553	1.449	1.248	1.018	1.156	0.959	0.901	0.994	0.769	0.935	0.869	0.855	0.808	6	D	H
C8H	1.186	1.512	0.761	0.858	1.051	0.978	0.847	1.423	0.787	1.413	1.29	0.737	0.94	1.414	0.805	0.523	0.993	1.922	0.979	0.779	1.021	1.143	6	D	H
